ime,kraj
Trailsway,El Bagre
Oneill,Lagoa
Vahlen,Nedakonice
Blackbird,Pushkino
Memorial,Donghui
Coleman,Santa Cruz
Hanover,Hexi
Parkside,Apucarana
Kedzie,Novocherkassk
Algoma,Winong
Stone Corner,Tembau
Loomis,Xiashihao
Tennessee,Tambo
Golf,Gapan
Golf View,Vukojevci
Macpherson,Guadalupe Victoria
Glacier Hill,Yantan
Granby,Aki
Troy,Strasbourg
Summerview,Sosnovka
Hovde,Nogueira da Regedoura
Magdeline,Nanton
Graedel,Magsalangi
Hintze,Merik
Burning Wood,Tangnan
Annamark,Ozatlán
Mesta,Bigaa
Cottonwood,Topory
Maple Wood,Petropavlovsk
Mayfield,Vicuña Mackenna
Shelley,Brzeźnica
Esker,Polkowice
Goodland,Zhaoxiang
Kingsford,Lubukgadang
Summerview,Poroj
Towne,Lenchwe Le Tau
Shelley,Gesik
Texas,São Roque
Pleasure,Atar
Forest Dale,Lynn
Harbort,Basel
Stone Corner,Xin’an
Shoshone,Orlu
Old Shore,Hammam Sousse
Petterle,Tongjiaxi
Tomscot,Puan
Dexter,Yanas
Nelson,Angostura
Continental,Leskovec pri Krškem
Maple,Jayanca
Lien,Hingatungan
2nd,Chocos
Ryan,Fianarantsoa
Karstens,Fengyang
Vidon,Jianggang
Claremont,Sumberbening
Waywood,Rongxi
Bobwhite,Curumaní
Schmedeman,Kachia
Blaine,Kassiri
Oakridge,Qinggang
Holmberg,Qihama
Sunfield,München
Daystar,Miyazu
Straubel,Huangmu
Namekagon,Bagahanlad
Hoard,Severka
Warrior,Strel'na
Melvin,Shuiyang
Saint Paul,Bograd
Steensland,Linköping
Mockingbird,Nikolayevka
Havey,Yanglang
Express,Klukeng
Mariners Cove,Milín
Fordem,Maubara
Grayhawk,Chixi
Namekagon,Santa Fe
Shoshone,Wudil
Everett,Ha
Spenser,Piet Retief
Tomscot,Sydney
Lerdahl,Vyšší Brod
Arapahoe,Rio Branco do Sul
5th,Tegalgunung
Petterle,Alcabideche
Esker,Matingain
Old Gate,Neuville
Green,Olenyok
Emmet,Suicheng
Schurz,Turets-Bayary
Coolidge,Kalangbret
Logan,Jincun
Sullivan,Selenicë
Fieldstone,Tanenofunan
Hanson,Kadujajar
Loomis,Niaojin
Glendale,Novotroitsk
