ime,kraj
2nd,Pakenjeng
Sauthoff,Tikiw
Vernon,Sambirejo
Kropf,Burnaby
Southridge,Dalakovo
Prairieview,Qionghai
Pond,Esperantina
Manufacturers,Cercal
Petterle,Barru
Mariners Cove,Caujul
International,Pentaplátano
Tony,Majengo
Coleman,Cruz Alta
Rieder,Chợ Gạo
Porter,Hengjie
Caliangt,Pasarkuok
Straubel,Skien
Prentice,Jingyang
Crowley,Lagawe
Stang,eSikhawini
Grasskamp,Tiechang
Havey,Yurovka
Moland,Hŭngju-dong
Haas,Al Majd
Miller,Bjuv
Jay,Yangjiapo
Oriole,Gonzalo
Ilene,Lukashin
Hansons,Gary
Crownhardt,Pagsanahan Norte
Marcy,Przewóz
Beilfuss,Huanggangshan
Scoville,Sambirata
Stone Corner,Vavoua
American Ash,Longtian
Amoth,Pimentel
Packers,Hikkaduwa
Sycamore,Amagarapati
Corry,Baytā al Fawqā
Randy,Saint-Quentin-en-Yvelines
Pearson,Altagracia de Orituco
Corscot,Polel Diaoubé
Quincy,Keleng
Raven,Pereira
Corscot,Kota Kinabalu
Moland,Plaza de Caisán
School,Skhodnya
Westport,Itapicuru
Roxbury,Nakhon Pathom
Sutherland,Pingshui
Judy,Jadranovo
Farwell,Contraalmirante Cordero
Beilfuss,Łęki Szlacheckie
Summer Ridge,Haiyan
Esch,Netishyn
3rd,Zhaogezhuang
Ramsey,Minchinābād
Elmside,Ngchesar Hamlet
Lien,Lordelo
Meadow Ridge,Maliang
Waxwing,Gradizhsk
Helena,Matias Olímpio
Boyd,Manakara
Hazelcrest,Canala
Arizona,Minador do Negrão
Eastwood,Datun
Kropf,Okotoks
Prairie Rose,Janas
Bunker Hill,Anta
Macpherson,Marseille
American,Laban
Walton,Zhuanshui
6th,Tianzhou
Ridgeway,Cordeirópolis
Hagan,Ja Ela
Bartillon,Yashiga
Rutledge,Vila do Bispo
Schlimgen,Dimitrovgrad
Barnett,Menggusi
Jana,Albrechtice
Straubel,Dongchong
Paget,Sanandaj
Tomscot,Laventille
Pierstorff,Hexi
Johnson,Lirang
Autumn Leaf,Yongjiu
Milwaukee,Magdeburg
Hermina,Tây Hồ
Sherman,Frösön
Beilfuss,Seoul
Dottie,Minji
Glendale,Del Monte
Grayhawk,Botshabelo
Oak,Dębe Wielkie
Stone Corner,Gangkoujie
Mesta,Ning’an
Toban,Gayamdesa
Farwell,Suwałki
Glacier Hill,Rudnya
