ime,cena
Sauce - Hoisin,"€0,59"
Cheese - Augre Des Champs,"€1,36"
Miso Paste White,"€3,57"
Jagermeister,"€4,58"
"Wine - Niagara,vqa Reisling","€0,16"
Lettuce - Red Leaf,"€3,71"
Cheese - Grie Des Champ,"€4,17"
Fennel - Seeds,"€0,00"
Danishes - Mini Raspberry,"€4,84"
Bread - Petit Baguette,"€2,13"
Russian Prince,"€0,26"
Potatoes - Parissienne,"€3,85"
Pomegranates,"€4,11"
Cassis,"€2,41"
"Juice - Apple, 341 Ml","€3,23"
Bread Ww Cluster,"€1,62"
"Marsala - Sperone, Fine, D.o.c.","€0,22"
Cake - Box Window 10x10x2.5,"€3,29"
Cheese - Brick With Pepper,"€1,29"
Pepper - Jalapeno,"€0,55"
Bread - Bistro Sour,"€3,24"
Compound - Strawberry,"€0,90"
Sugar - Icing,"€3,50"
Wine - Fino Tio Pepe Gonzalez,"€2,75"
Oil - Margarine,"€1,68"
Cheese - Ricotta,"€1,69"
Grenadine,"€4,65"
Dome Lid Clear P92008h,"€1,93"
Island Oasis - Peach Daiquiri,"€3,14"
Wine - Maipo Valle Cabernet,"€4,61"
Oil - Coconut,"€4,13"
"Bread - White, Unsliced","€2,95"
Table Cloth 54x72 White,"€2,14"
Duck - Breast,"€3,58"
Wine - Piper Heidsieck Brut,"€2,08"
"Wine - White, Pinot Grigio","€3,24"
Evaporated Milk - Skim,"€0,20"
Soup Campbells,"€1,61"
"Shrimp, Dried, Small / Lb","€4,78"
Flour - Strong,"€4,17"
Cleaner - Comet,"€4,57"
Wine - Marlbourough Sauv Blanc,"€3,77"
Tomatoes Tear Drop,"€0,35"
Beef - Short Loin,"€0,83"
Icecream - Dstk Strw Chseck,"€3,04"
"Cheese - Mozzarella, Buffalo","€1,61"
Soup - French Onion,"€2,46"
Cheese - Roquefort Pappillon,"€3,67"
Tomato - Tricolor Cherry,"€4,84"
Wine - White Cab Sauv.on,"€4,46"
Muffin Puck Ww Carrot,"€3,50"
Truffle Paste,"€1,53"
Shrimp - Black Tiger 8 - 12,"€4,94"
Evaporated Milk - Skim,"€1,54"
Oven Mitts - 15 Inch,"€2,32"
"Cookies - Oreo, 4 Pack","€3,44"
"Wine - Harrow Estates, Vidal","€0,16"
Cookie Dough - Chunky,"€1,90"
Bread - Focaccia Quarter,"€2,13"
Tomato - Peeled Italian Canned,"€1,60"
"Juice - Cranberry, 341 Ml","€2,39"
Cookies - Englishbay Wht,"€3,36"
Lid Coffeecup 12oz D9542b,"€1,16"
"Mushroom - Oyster, Fresh","€1,17"
Beer - True North Lager,"€3,04"
Sesame Seed,"€3,24"
Melon - Cantaloupe,"€0,56"
Pork - Ground,"€1,53"
Coffee - Dark Roast,"€2,15"
"Schnappes - Peach, Walkers","€1,66"
