ime, cena

Plums - Red, 2.96

Carroway Seed, 2.7

Sausage - Meat, 6.32

Wine - Ej Gallo Sonoma, 7.8

Mousse - Mango, 5.48

Longos - Assorted Sandwich, 7.11

Lemonade - Pineapple Passion, 3.09

Appetizer - Crab And Brie, 1.97

Sage - Ground, 6.9

Crush - Cream Soda, 6.12

Toothpick Frilled, 1.98

Sausage - Chorizo, 6.05

Cheese - Mascarpone, 3.47

Foil - 4oz Custard Cup, 4.41

Bread - Raisin Walnut Pull, 6.42

Galliano, 5.59

Beef - Top Butt Aaa, 4.66

Juice - Apple Cider, 4.39

Nougat - Paste / Cream, 2.54

Syrup - Kahlua Chocolate, 7.86

Nantucket Orange Juice, 6.24

Smirnoff Green Apple Twist, 2.32

Fork - Plastic, 5.46

Garlic Powder, 2.76

Anchovy In Oil, 4.37

Amarula Cream, 7.55

Pasta - Canelloni, 4.65

Wine - Gato Negro Cabernet, 7.75

Bandage - Finger Cots, 4.32

Propel Sport Drink, 6.06

Persimmons, 4.74

Strawberries, 4.43

Cheese - St. Paulin, 7.67

Blue Curacao - Marie Brizard, 6.43

Water Chestnut - Canned, 3.09

Pork - Ground, 6.73

Bagel - 12 Grain Preslice, 1.69

Bananas, 1.84

Muffin - Carrot Individual Wrap, 6.15

Sole - Iqf, 1.8

Soup - Campbells Beef Strogonoff, 2.56

Papadam, 5.05

Oil - Coconut, 1.82

Goat - Whole Cut, 2.35

Wine - Savigny - Les - Beaune, 3.93

Jam - Raspberry, 5.33

Vinegar - Cider, 6.57

Venison - Liver, 3.17

Vodka - Moskovskaya, 6.13

Beer - Maudite, 3.57

Olives - Morracan Dired, 7.13

Yeast Dry - Fleischman, 1.13

Juice - Cranberry 284ml, 3.82

Wine - Rioja Campo Viejo, 4.34

Salmon - Canned, 5.96

Salt - Seasoned, 1.45

Longos - Grilled Chicken With, 5.06

Laundry - Bag Cloth, 6.87

Lettuce - Lambs Mash, 6.57

Coffee - Flavoured, 2.07

Cheese - Le Cheve Noir, 2.32

Broom Handle, 3.15

Bacardi Breezer - Tropical, 1.12

Cilantro / Coriander - Fresh, 2.6

Oil - Shortening - All - Purpose, 2.39

Cups 10oz Trans, 4.53

Tray - 12in Rnd Blk, 4.81

White Fish - Filets, 5.95

Sugar - Fine, 2.42

Tobasco Sauce, 2.55

Silicone Parch. 16.3x24.3, 7.4

Gatorade - Cool Blue Raspberry, 6.38

Hagen Daza - Dk Choocolate, 1.12

Sambuca Cream, 5.91

Wine - Duboeuf Beaujolais, 2.32

Mushroom - Crimini, 4.04

Cinnamon Buns Sticky, 7.45

Goulash Seasoning, 5.64

Dried Apple, 3.64

Sauce - Ranch Dressing, 2.95

Sauce - Vodka Blush, 6.51

Beer - Sleemans Cream Ale, 3.21

Wine - Pinot Noir Stoneleigh, 2.98

French Kiss Vanilla, 6.48

Canadian Emmenthal, 6.41

Spring Roll Wrappers, 7.01

Bread - Focaccia Quarter, 3.43

Pomello, 6.01

Fib N9 - Prague Powder, 6.41

Pur Source, 2.66

Shrimp - Black Tiger 8 - 12, 5.21

Spice - Pepper Portions, 2.36

Venison - Ground, 3.82

